subbad,alfass,B,snr,odg,payload,ber0,ber1
4,0.001,6,34.6219327295233,-3.07,1225,0.189453125,0.189453125
4,0.002,6,28.6013328162437,-3.66,1225,0.9794921875,0.9794921875
4,0.003,6,25.07950763513,-3.77,1225,0.18701171875,0.18701171875
4,0.004,6,22.580732902964,-3.82,1225,1.025390625,1.025390625
4,0.005,6,20.6425326428029,-3.86,1225,0.18701171875,0.18701171875
4,0.006,6,19.0589077218504,-3.86,1225,0.185546875,0.185546875
4,0.007,6,17.7199719292381,-3.87,1225,1,1
4,0.008,6,16.5601329896844,-3.88,1225,0.972900390625,0.972900390625
4,0.009,6,15.5370825407368,-3.88,1225,1,1
4,0.001,8,37.4224151695452,-2.41,689.0625,0.19091796875,0.19091796875
4,0.002,8,31.4018152562656,-3.39,689.0625,0.188720703125,0.188720703125
4,0.003,8,27.8799900751519,-3.66,689.0625,0.1865234375,0.1865234375
4,0.004,8,25.3812153429859,-3.76,689.0625,0.204833984375,0.204833984375
4,0.005,8,23.4430150828248,-3.81,689.0625,0.185302734375,0.185302734375
4,0.006,8,21.8593901618723,-3.83,689.0625,0.187744140625,0.187744140625
4,0.007,8,20.52045436926,-3.85,689.0625,0.18505859375,0.18505859375
4,0.008,8,19.3606154297063,-3.86,689.0625,0.18505859375,0.18505859375
4,0.009,8,18.3375649807587,-3.86,689.0625,1.000732421875,1.000732421875
4,0.01,8,17.4224151695452,-3.87,689.0625,0.991943359375,0.991943359375
4,0.001,16,45.2952498715454,-0.52,172.265625,0.19384765625,0.19384765625
4,0.002,16,39.2746499582658,-1.55,172.265625,0.190185546875,0.190185546875
4,0.003,16,35.7528247771522,-2.35,172.265625,0.190673828125,0.190673828125
4,0.004,16,33.2540500449862,-2.84,172.265625,0.191162109375,0.191162109375
4,0.005,16,31.315849784825,-3.13,172.265625,0.19482421875,0.19482421875
4,0.006,16,29.7322248638726,-3.33,172.265625,0.19189453125,0.19189453125
4,0.007,16,28.3932890712603,-3.46,172.265625,0.18798828125,0.18798828125
4,0.008,16,27.2334501317065,-3.54,172.265625,0.190673828125,0.190673828125
4,0.009,16,26.2103996827589,-3.61,172.265625,0.18603515625,0.18603515625
4,0.01,16,25.2952498715454,-3.67,172.265625,0.187255859375,0.187255859375
4,0.001,32,52.5938223050979,-0.08,43.06640625,0.1904296875,0.1904296875
4,0.002,32,46.5732223918183,-0.16,43.06640625,0.190673828125,0.190673828125
4,0.003,32,43.0513972107046,-0.39,43.06640625,0.188232421875,0.188232421875
4,0.004,32,40.5526224785386,-0.69,43.06640625,0.19140625,0.19140625
4,0.005,32,38.6144222183775,-1,43.06640625,0.1904296875,0.1904296875
4,0.006,32,37.030797297425,-1.32,43.06640625,0.194580078125,0.194580078125
4,0.007,32,35.6918615048128,-1.65,43.06640625,0.1875,0.1875
4,0.008,32,34.532022565259,-1.87,43.06640625,0.191650390625,0.191650390625
4,0.009,32,33.5089721163114,-2.1,43.06640625,0.195068359375,0.195068359375
4,0.01,32,32.5938223050979,-2.3,43.06640625,0.1904296875,0.1904296875
